"ImageId","OutputFile","Words","Combination","Character","Status","SelectionRule","SourceUrl"
"img-06902","assets/gallery/generated/img-06902.png","蛟龍","ㄐㄧㄠ","蛟","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A7%E3%84%A0&word=%E8%9B%9F"
"img-06903","assets/gallery/generated/img-06903.png","蛤蚧","ㄍㄜˊ","蛤","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8D&SN2=%E3%84%8D%E3%84%9C%CB%8A&word=%E8%9B%A4"
"img-06904","assets/gallery/generated/img-06904.png","蛤蜊","ㄍㄜˊ","蛤","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8D&SN2=%E3%84%8D%E3%84%9C%CB%8A&word=%E8%9B%A4"
"img-06905","assets/gallery/generated/img-06905.png","蛤蟆","ㄏㄚˊ","蛤","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8F&SN2=%E3%84%8F%E3%84%9A%CB%8A&word=%E8%9B%A4"
"img-06906","assets/gallery/generated/img-06906.png","蛩","ㄑㄩㄥˊ","蛩","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%91&SN2=%E3%84%91%E3%84%A9%E3%84%A5%CB%8A&word=%E8%9B%A9"
"img-06907","assets/gallery/generated/img-06907.png","蛭","ㄓˋ","蛭","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%CB%8B&word=%E8%9B%AD"
"img-06908","assets/gallery/generated/img-06908.png","衕","ㄊㄨㄥˊ","衕","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A8%E3%84%A5%CB%8A&word=%E8%A1%95"
"img-06909","assets/gallery/generated/img-06909.png","衖","ㄌㄨㄥˋ","衖","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8C&SN2=%E3%84%8C%E3%84%A8%E3%84%A5%CB%8B&word=%E8%A1%96"
"img-06910","assets/gallery/generated/img-06910.png","街市","ㄐㄧㄝ","街","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A7%E3%84%9D&word=%E8%A1%97"
"img-06911","assets/gallery/generated/img-06911.png","街坊","ㄐㄧㄝ","街","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A7%E3%84%9D&word=%E8%A1%97"
"img-06912","assets/gallery/generated/img-06912.png","街角","ㄐㄧㄝ","街","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A7%E3%84%9D&word=%E8%A1%97"
"img-06913","assets/gallery/generated/img-06913.png","袱","ㄈㄨˊ","袱","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%88&SN2=%E3%84%88%E3%84%A8%CB%8A&word=%E8%A2%B1"
"img-06914","assets/gallery/generated/img-06914.png","裁示","ㄘㄞˊ","裁","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%98&SN2=%E3%84%98%E3%84%9E%CB%8A&word=%E8%A3%81"
"img-06915","assets/gallery/generated/img-06915.png","裁判","ㄘㄞˊ","裁","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%98&SN2=%E3%84%98%E3%84%9E%CB%8A&word=%E8%A3%81"
"img-06916","assets/gallery/generated/img-06916.png","裁決","ㄘㄞˊ","裁","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%98&SN2=%E3%84%98%E3%84%9E%CB%8A&word=%E8%A3%81"
"img-06917","assets/gallery/generated/img-06917.png","裂口","ㄌㄧㄝˋ","裂","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8C&SN2=%E3%84%8C%E3%84%A7%E3%84%9D%CB%8B&word=%E8%A3%82"
"img-06918","assets/gallery/generated/img-06918.png","裂痕","ㄌㄧㄝˋ","裂","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8C&SN2=%E3%84%8C%E3%84%A7%E3%84%9D%CB%8B&word=%E8%A3%82"
"img-06919","assets/gallery/generated/img-06919.png","裂開","ㄌㄧㄝˋ","裂","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8C&SN2=%E3%84%8C%E3%84%A7%E3%84%9D%CB%8B&word=%E8%A3%82"
"img-06920","assets/gallery/generated/img-06920.png","覃","ㄊㄢˊ","覃","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%8A&word=%E8%A6%83"
"img-06921","assets/gallery/generated/img-06921.png","訴求","ㄙㄨˋ","訴","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%99&SN2=%E3%84%99%E3%84%A8%CB%8B&word=%E8%A8%B4"
"img-06922","assets/gallery/generated/img-06922.png","訴狀","ㄙㄨˋ","訴","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%99&SN2=%E3%84%99%E3%84%A8%CB%8B&word=%E8%A8%B4"
"img-06923","assets/gallery/generated/img-06923.png","訴說","ㄙㄨˋ","訴","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%99&SN2=%E3%84%99%E3%84%A8%CB%8B&word=%E8%A8%B4"
"img-06924","assets/gallery/generated/img-06924.png","訶","ㄏㄜ","訶","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8F&SN2=%E3%84%8F%E3%84%9C&word=%E8%A8%B6"
"img-06925","assets/gallery/generated/img-06925.png","診所","ㄓㄣˇ","診","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%E3%84%A3%CB%87&word=%E8%A8%BA"
"img-06926","assets/gallery/generated/img-06926.png","診治","ㄓㄣˇ","診","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%E3%84%A3%CB%87&word=%E8%A8%BA"
"img-06927","assets/gallery/generated/img-06927.png","診視","ㄓㄣˇ","診","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%E3%84%A3%CB%87&word=%E8%A8%BA"
"img-06928","assets/gallery/generated/img-06928.png","註冊","ㄓㄨˋ","註","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%E3%84%A8%CB%8B&word=%E8%A8%BB"
"img-06929","assets/gallery/generated/img-06929.png","註定","ㄓㄨˋ","註","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%E3%84%A8%CB%8B&word=%E8%A8%BB"
"img-06930","assets/gallery/generated/img-06930.png","註明","ㄓㄨˋ","註","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%E3%84%A8%CB%8B&word=%E8%A8%BB"
"img-06931","assets/gallery/generated/img-06931.png","証","ㄓㄥˋ","証","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%E3%84%A5%CB%8B&word=%E8%A8%BC"
"img-06932","assets/gallery/generated/img-06932.png","詁","ㄍㄨˇ","詁","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8D&SN2=%E3%84%8D%E3%84%A8%CB%87&word=%E8%A9%81"
"img-06933","assets/gallery/generated/img-06933.png","詆","ㄉㄧˇ","詆","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A7%CB%87&word=%E8%A9%86"
"img-06934","assets/gallery/generated/img-06934.png","詆毀","ㄉㄧˇ","詆","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A7%CB%87&word=%E8%A9%86"
"img-06935","assets/gallery/generated/img-06935.png","詈","ㄌㄧˋ","詈","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8C&SN2=%E3%84%8C%E3%84%A7%CB%8B&word=%E8%A9%88"
"img-06936","assets/gallery/generated/img-06936.png","詎","ㄐㄩˋ","詎","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A9%CB%8B&word=%E8%A9%8E"
"img-06937","assets/gallery/generated/img-06937.png","詎料","ㄐㄩˋ","詎","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A9%CB%8B&word=%E8%A9%8E"
"img-06938","assets/gallery/generated/img-06938.png","詐死","ㄓㄚˋ","詐","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%E3%84%9A%CB%8B&word=%E8%A9%90"
"img-06939","assets/gallery/generated/img-06939.png","詐降","ㄓㄚˋ","詐","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%E3%84%9A%CB%8B&word=%E8%A9%90"
"img-06940","assets/gallery/generated/img-06940.png","詐財","ㄓㄚˋ","詐","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%E3%84%9A%CB%8B&word=%E8%A9%90"
"img-06941","assets/gallery/generated/img-06941.png","詔","ㄓㄠˋ","詔","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%E3%84%A0%CB%8B&word=%E8%A9%94"
"img-06942","assets/gallery/generated/img-06942.png","詔書","ㄓㄠˋ","詔","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%E3%84%A0%CB%8B&word=%E8%A9%94"
"img-06943","assets/gallery/generated/img-06943.png","評介","ㄆㄧㄥˊ","評","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%86&SN2=%E3%84%86%E3%84%A7%E3%84%A5%CB%8A&word=%E8%A9%95"
"img-06944","assets/gallery/generated/img-06944.png","評分","ㄆㄧㄥˊ","評","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%86&SN2=%E3%84%86%E3%84%A7%E3%84%A5%CB%8A&word=%E8%A9%95"
