"ImageId","OutputFile","Words","Combination","Character","Status","SelectionRule","SourceUrl"
"img-00065","assets/gallery/generated/img-00065.png","嘴巴","ㄗㄨㄟˇ","嘴","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%97&SN2=%E3%84%97%E3%84%A8%E3%84%9F%CB%87&word=%E5%98%B4"
"img-00066","assets/gallery/generated/img-00066.png","膠水","ㄐㄧㄠ","膠","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A7%E3%84%A0&word=%E8%86%A0"
"img-00067","assets/gallery/generated/img-00067.png","蔬菜","ㄕㄨ","蔬","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%E3%84%A8&word=%E8%94%AC"
"img-00068","assets/gallery/generated/img-00068.png","蝴蝶","ㄏㄨˊ","蝴","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8F&SN2=%E3%84%8F%E3%84%A8%CB%8A&word=%E8%9D%B4"
"img-00069","assets/gallery/generated/img-00069.png","鞋子","ㄒㄧㄝˊ","鞋","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A7%E3%84%9D%CB%8A&word=%E9%9E%8B"
"img-00070","assets/gallery/generated/img-00070.png","橡皮","ㄒㄧㄤˋ","橡","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A7%E3%84%A4%CB%8B&word=%E6%A9%A1"
"img-00071","assets/gallery/generated/img-00071.png","積木","ㄐㄧ","積","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A7&word=%E7%A9%8D"
"img-00072","assets/gallery/generated/img-00072.png","錢包","ㄑㄧㄢˊ","錢","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%91&SN2=%E3%84%91%E3%84%A7%E3%84%A2%CB%8A&word=%E9%8C%A2"
"img-00073","assets/gallery/generated/img-00073.png","關門","ㄍㄨㄢ","關","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8D&SN2=%E3%84%8D%E3%84%A8%E3%84%A2&word=%E9%97%9C"
"img-00074","assets/gallery/generated/img-00074.png","蘋果","ㄆㄧㄥˊ","蘋","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%86&SN2=%E3%84%86%E3%84%A7%E3%84%A5%CB%8A&word=%E8%98%8B"
"img-00075","assets/gallery/generated/img-00075.png","麵包","ㄇㄧㄢˋ","麵","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%87&SN2=%E3%84%87%E3%84%A7%E3%84%A2%CB%8B&word=%E9%BA%B5"
"img-00076","assets/gallery/generated/img-00076.png","鑰匙","ㄧㄠˋ","鑰","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7%E3%84%A0%CB%8B&word=%E9%91%B0"
