"BaseSymbol","Combination","Character","SourceUrl"
"ㄊ","ㄊㄢˇ","忐","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%87#selectL"
"ㄊ","ㄊㄢˇ","坦","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%87#selectL"
"ㄊ","ㄊㄢˇ","袒","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%87#selectL"
"ㄊ","ㄊㄢˇ","毯","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%87#selectL"
"ㄊ","ㄊㄢˊ","覃","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%8A#selectL"
"ㄊ","ㄊㄢˊ","痰","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%8A#selectL"
"ㄊ","ㄊㄢˊ","彈","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%8A#selectL"
"ㄊ","ㄊㄢˊ","潭","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%8A#selectL"
"ㄊ","ㄊㄢˊ","談","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%8A#selectL"
"ㄊ","ㄊㄢˊ","壇","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%8A#selectL"
"ㄊ","ㄊㄢˊ","曇","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%8A#selectL"
"ㄊ","ㄊㄢˊ","澹","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%8A#selectL"
"ㄊ","ㄊㄢˊ","檀","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%8A#selectL"
"ㄊ","ㄊㄢˊ","罈","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%8A#selectL"
"ㄊ","ㄊㄢˊ","譚","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%8A#selectL"
"ㄊ","ㄊㄢˊ","醰","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%8A#selectL"
"ㄊ","ㄊㄢˋ","炭","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%8B#selectL"
"ㄊ","ㄊㄢˋ","探","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%8B#selectL"
"ㄊ","ㄊㄢˋ","嘆","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%8B#selectL"
"ㄊ","ㄊㄢˋ","碳","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%8B#selectL"
"ㄊ","ㄊㄢˋ","歎","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2%CB%8B#selectL"
"ㄊ","ㄊㄤ","湯","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A4#selectL"
"ㄊ","ㄊㄤ","蹚","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A4#selectL"
"ㄊ","ㄊㄤ","鏜","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A4#selectL"
"ㄊ","ㄊㄤˇ","帑","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A4%CB%87#selectL"
"ㄊ","ㄊㄤˇ","倘","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A4%CB%87#selectL"
"ㄊ","ㄊㄤˇ","淌","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A4%CB%87#selectL"
"ㄊ","ㄊㄤˇ","躺","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A4%CB%87#selectL"
"ㄊ","ㄊㄤˇ","儻","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A4%CB%87#selectL"
"ㄊ","ㄊㄤˊ","唐","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A4%CB%8A#selectL"
"ㄊ","ㄊㄤˊ","堂","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A4%CB%8A#selectL"
"ㄊ","ㄊㄤˊ","棠","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A4%CB%8A#selectL"
"ㄊ","ㄊㄤˊ","塘","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A4%CB%8A#selectL"
"ㄊ","ㄊㄤˊ","搪","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A4%CB%8A#selectL"
"ㄊ","ㄊㄤˊ","膛","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A4%CB%8A#selectL"
"ㄊ","ㄊㄤˊ","糖","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A4%CB%8A#selectL"
"ㄊ","ㄊㄤˊ","螗","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A4%CB%8A#selectL"
"ㄊ","ㄊㄤˊ","螳","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A4%CB%8A#selectL"
"ㄊ","ㄊㄤˊ","醣","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A4%CB%8A#selectL"
"ㄊ","ㄊㄤˋ","趟","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A4%CB%8B#selectL"
"ㄊ","ㄊㄤˋ","燙","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A4%CB%8B#selectL"
"ㄊ","ㄊㄥˊ","疼","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A5%CB%8A#selectL"
"ㄊ","ㄊㄥˊ","滕","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A5%CB%8A#selectL"
"ㄊ","ㄊㄥˊ","謄","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A5%CB%8A#selectL"
"ㄊ","ㄊㄥˊ","藤","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A5%CB%8A#selectL"
"ㄊ","ㄊㄥˊ","騰","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A5%CB%8A#selectL"
