"FrequencyRank","ImageId","OutputFile","Words","Combination","Character","Status","SelectionRule","SourceUrl"
"1042","img-00024","assets/gallery/generated/img-00024.png","杯子","ㄅㄟ","杯","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9F&word=%E6%9D%AF"
"1134","img-00007","assets/gallery/generated/img-00007.png","牙齒","ㄧㄚˊ","牙","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7%E3%84%9A%CB%8A&word=%E7%89%99"
"1140","img-00062","assets/gallery/generated/img-00062.png","蜜蜂","ㄇㄧˋ","蜜","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%87&SN2=%E3%84%87%E3%84%A7%CB%8B&word=%E8%9C%9C"
"1166","img-00061","assets/gallery/generated/img-00061.png","熊貓","ㄒㄩㄥˊ","熊","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A9%E3%84%A5%CB%8A&word=%E7%86%8A"
"1198","img-00021","assets/gallery/generated/img-00021.png","味道","ㄨㄟˋ","味","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A8&SN2=%E3%84%A8%E3%84%9F%CB%8B&word=%E5%91%B3"
"1218","img-00049","assets/gallery/generated/img-00049.png","椅子","ㄧˇ","椅","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7%CB%87&word=%E6%A4%85"
"1346","img-00020","assets/gallery/generated/img-00020.png","刷牙","ㄕㄨㄚ","刷","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%E3%84%A8%E3%84%9A&word=%E5%88%B7"
"1370","img-00048","assets/gallery/generated/img-00048.png","帽子","ㄇㄠˋ","帽","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%87&SN2=%E3%84%87%E3%84%A0%CB%8B&word=%E5%B8%BD"
"1392","img-00038","assets/gallery/generated/img-00038.png","烏龜","ㄨ","烏","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A8&SN2=%E3%84%A8&word=%E7%83%8F"
"1490","img-00066","assets/gallery/generated/img-00066.png","膠水","ㄐㄧㄠ","膠","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A7%E3%84%A0&word=%E8%86%A0"
"1562","img-00068","assets/gallery/generated/img-00068.png","蝴蝶","ㄏㄨˊ","蝴","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8F&SN2=%E3%84%8F%E3%84%A8%CB%8A&word=%E8%9D%B4"
"1760","img-00059","assets/gallery/generated/img-00059.png","裙子","ㄑㄩㄣˊ","裙","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%91&SN2=%E3%84%91%E3%84%A9%E3%84%A3%CB%8A&word=%E8%A3%99"
"1790","img-00067","assets/gallery/generated/img-00067.png","蔬菜","ㄕㄨ","蔬","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%E3%84%A8&word=%E8%94%AC"
